scaf_smi,frag_size
*=**(*#*)*(=*)=*,8
*=*1**2*3***(*=*3)*(=*)*2*1,14
*1**2***3**=**=**3*2*1,14
*=*1***2****2**1=*,12
***(*)(=*)**(*=*)*(*)(*)=*,13
*=*1**2***=*****21,12
*1***2(*1)*1*3*4*5*1*5*2*43,13
*1**2***3:*:*:*:*:*:3**2*1,14
***(=*)***(*)(=*)**(*)*(*)=*,15
*=*1****2:*:*:*3:*(=*):*:*:*:*:3:*:21,16
****(=*)*(*)***(*)*,12
*=*1*******2****1*2,14
*1**2***3****23*1,11
**(=*)*(=*)**#*,8
*=*1:*:*(=*):*2:*(:*:1):*:*1:*:*:*:*:1:2,14
*=*1****2:*:*:*:*(=*):*:21,12
**(=*)***(=*)**=*,10
*1**2***3***4***1*243,13
*=*1***2=*1**1*****1*2,14
*1***2(*1)**=**1:*:*:*:*:12,13
*1**2***1**21**=**=**1,14
*=*1**2*=***3:*:*:*:*(:*:32)*1,14
*1**2**1**1:*:*:*3:*:*:*:*:3:*:12,15
*=*1(=*)*2****=*2*2:*:*:*:*:*:21,15
*=*1*=**2=****3*(**(=*)*3=*)*12,16
*=*1*2****23**3*2:*:*:*:*:21,14
*=*1**2**3*****34**4*2*1=*,16
*.*.*****,7
*1*2**3:*:*:*:*:3*12,9
*=*1*****12*****2=*,13
*=*1***=*2**3:*:*:*:*:*:3*=*12,15
*=*1***2**2***2***21,13
*1*2*=**1*1:*:*:*:*:*:12,11
****=**=*(*)*,9
****1:*:*:*:*2:*:1****2,13
*=*1*=****2****2=*1,12
*=*1:*:*:*:*2:*:*:*:*:*:12,11
*=*1**2***3:*:*:*:*:*:3*2=*1,14
*=*1***2:*:*:*:*:*:2*1=*1**=**1,16
**(=*)**=*1*=**(=*)*=*1,12
**********(*)**,13
*1***2=*(*1)***2,9
**=*1****2=*1****2,12
*.*.*.*,4
**#**(*)*,6
*=*1***2*(=*1)***1***=*12,14
****=***,7
****(=*)***(**)**,12
****(=*)**(**(*)*)*(*)=*,14
*1**2=*(*1)*=**2,8
*=*1**2(**=*1)**1***(*1)*2,14
***(:*):*(**):*:*,9
****(=*)*****#*,11
*1:*:*:*2:*(:*:1):*:*:*1:*:*:*:*:1:2,13
*=*1:*:*:*(=*):*(=*):*:1=*,10
**(*)**(*)*(=*)**(*)*(*)=*,14
*=*1**2**3:*:*:*:*:*:3*2*(=*)*1,15
*=*1(=*)***2*****2*1,12
***(=*)***(=*)*****(*)=*,15
*=*1**(=*)*2:*1:*:*:*1:*:*:*:*:*:2:1,15
*=*1***2*(*1)**(=*)*1*****21,16
*=*1*=**2*=**3**4**1*2*43,14
****(=*)**(*)(*)**(*)=*,13
*1***2=*(*1)**1*=**=**1=*2,14
****(=*)**(*)*(=*)=*,11
*=*1*2**3**(*2)*1*3,10
*=*1**=*2*(***3:*:*:*:*:*:32)*1,15
*=*1:*:*:*:*2:*:1**1****2*1,14
*=*1**2*1*=*1*****21,12
****(=*)*(**(=*)=*)**(*)(=*)=*,15
*1***2(=**=**3(=*2)*****3)**1,16
*=*1:*:*:*:*2:*:*3:*:*:*:*:*:3:*:1:2,14
***(=*)****(=*)*****(*)=*,16
*****(=*)***(*)=*,11
**(=*)*(*)=**=**(*)=**=*,13
*=*1*=**(=*)*2:*1:*:*1:*:2****1,15
*1**=**2****2*1,10
****#**#**(*)(*)*,11
*=*1***2(***3:*:*:*:*:*:32)*=*1,15
*=*1*=*2*=***=*2*2****21,14
**(**(*)=*)*(=*)*(*)=*,11
*1**2(**2)*2:*:*:*:*:*:21,11
*=*1**2****23**3*1,11
*1:*:*:*2:*(:*:1):*:*1:*:*3:*:*:*:*:*:3:*:1:2,16
*=*1(=*)***2****2*1,11
*=*1**2*=***3*=**(=*)*3**2=*1,16
*1**2***=*2*2:*:*:*:*:*:2*1,14
*=*1**(=*)*2(***3:*:*:*:*:*:3*2)*1,16
*******(=*)***(*)=*,13
***(*)*(*)*(*)*(*)*,11
*=*1*=**=**(=*2*=**=**=*2)*1=*,16
*=*1*2**2***23*4*(**4*12)**3=*,16
******(*)****(*)*,13
**(*)***(=*)=*,8
**(=*)****=*1**2****2*1,15
*1**2**3(***=*3)*=*2*=*1,13
*1****2*3***(*3)*2**1,13
**(=*)***(=*)*(*)(*)*,11
*=*1***2***(=*)**2*1,12
**1*****12**=**2=*,12
****(*)****(*)*(*)(=*)=*,14
**(=*)***(=*)***(=*)***=*,15
*=*1***2:*1:*:*1:*:*:*:*:1:*:2=*,14
*=*1:*2:*(:*:*3:*:*:*:*:*:1:3)*****2,16
*****(=*)****(*)*,12
*=*1*****(=*)***1,11
*1**2**2**2**2***=*1,13
*=*1****2*3****3*21,12
*=**1:*:*:*:*:*:1*(=*)*:*:*:*,14
**(*)***********(*)=*,16
*=*1:*2:*(:*:*3:*:1****3)*****2,16
*=*1*=**(=*)*2***21,10
*=*1**2*3*=****3***2*1=*,15
***(=*)**(=*)(=*)*(*)*,11
*1*=*2*=**=**2**2:*:*:*:*:21,14
*=*1**=**12***=**2,11
*1***2*(*1)*1***3:*:*:*:*2:*:31,15
*=*1*****=*****1,12
***(**)*(*)(=*)=*,9
*1***2**3:*:*:*:*:*:3**2*1,14
***(*****(*)=*)**=*,13
*****(=*)(=*)****,11
***(=*)*(***(=*)=*)**(=*)=*,14
*1**2:*:*:*3:*(:*:2*1)***3,12
*******(*)(*)*,10
*******(=*)*****,13
*1**2:*:*:*:*3:*:2*1**3,11
*=*1**2(*****2)**(=*)*1=*,14
******(=*)****(*)=*,13
*=*1*=**(=*)*2*=**=**21,12
****(***#*)*(*)=*,11
*=*1**2=**=***2*2:*:*:*:*:*:21,15
*=*1***2*=***3*****321,14
*=*******(=*)***=*,13
*=*1**2*3****3*(*1)*1*=***21,16
*=*1**(=*)*2=*1**1**(**=*1)*2=*,16
*=*1**********(=*)***1,16
*=*1****2*=*3***=*3**21,14
***(=*)*******(=*)**,14
*1**2***3***(*1)*23,11
*1***=****2****2=***1,15
***(*)*(=*)*(*)*(*=*)*(*)*,14
**(*)*(*)*(*)(*)=*,9
*=*1*=**2:*1:*:*1:*:2****1,13
**(*=*(*)*)*(*)=*,9
******(=*)*=*(*)*,11
*=*1*2*****=*2**2:*:*:*:*:*:21,16
***(*)(=*)**(*)(=*)*(*)(*)*(*)(*)=*,16
*=**(=*)*(=*)*:*:*:*:*,11
*=*1**2*****2*12*****2,15
*=*1*2***3**2*(*3)*(=*)*1=*,14
*=*1**2:*:*:*:*:2*2=*******12,16
****(=*)*=**,8
**(*)****(*)*(=*)=*,11
***(=*)*(*(*)*)*(*)*,11
*1**2:*:*3:*(:*:*:2*1)*1:*:*:*:*:1**3,16
*1***2*(*1)***1=***=**21,14
*=*1***2(**1)***1(*****1)*2,16
****1(*)***2:*:*:*:*:*:21,13
*=*1***2=***=**2=*1,11
*1**2**1*1:*:*3:*:*:*:*:*:3:*:*:12,15
*1*=***23**=**(**12)*3,12
*=*1****=**2*****2**1,15
*=*1**2**=**2*=*1,10
*1**2***(*1)*1***1**2,13
*1:*:*:*2:*(:*:1):*:*1:*:*:*:*:1:2,12
*=*1**2**=***2*=*1,11
*=*1***2*(**=**2=*)*1,12
*=*1***2:*:*:*:*:*:2*(=*)(=*)*1,14
*=*1***2:*:*3:*:*:*:*:*:3:*:*:21,14
*.*=*(**:*)**1:*:*:*:*:*:1,13
*=*1****2(***=*2)*1,11
***(=*)***(=*)**=*,11
*********=**,11
*=*1*=**2*******21,12
*=*1****2:*:*3:*:*(=*):*:*:*:3:*:*:21,16
*1***2(*1)***1=**3:*:*:*:*:3**12,16
*=*1****(=*)***1,10
*1***2=*(*1)***1:*:*:*:*:*:12,14
*1**2**3:*:*:*4:*:*:*:*:*:4:*:3*2=*1,16
*1:*:*2:*:*:*3:*:*:*:*4:*:*:*(:*:1):*:2*:3:4,16
****=*1*(=*)**2:*:*:*:*:*:21,14
**(=*)*(****(*)(=*)=*)**=*,14
*******(**(*)**)*=*,14
*1**2=**=**3:*:*:*:*:*:3*2=*1,14
*=*1*=***12***1:*:*:*:*:*:12,14
***(*)*(**)*(*)=*,10
******=**,8
*1**2*=***=*2*1,9
*=*1**=*2******12,11
*1***2(**1)*1****2***1,14
***(=*)***(*)*(*)(*)*,12
***(*)*(=*)**(*)*(*)=*,12
*=*1:*:*:*:*2:*:*:*3:*:*:*:*(=*):*:3:*:1:2,16
*=*1***2*(**3**32)*1,11
**1:*:*:*:*:*:1,7
*=*1:*:*2:*:*:*:*:*:*2:*:1,11
*=*1**=**2:*:*:*:*:*:2*1,12
*1***2***2*1,8
*=*1**(=*)*2=*(***2)*1=*,12
*=*1*=**2**1*2,8
*=*1*2****2*12***=*2,12
*1*2*=**3*2**24**2***4*13,14
*=*1:*:*:*:*(=*):*2:*:*:*:*:*:1:2,13
*1**2**3*(****4***=*43)*2*1,16
***(***(*)(*)*)*=*,11
**(*)**(*)*(*)=*,9
*1**=**2:*:*3:*:*:*:*:3:*:*:2*1,14
*=*1:*:*(=*):*2:*3:*(:*:*:2:*:1)****3,15
**(=*)*(***=*)**=*,11
*=*1**2****2*2****=*21,14
*1**2*=***3*=***23*1,12
****=*1**(=*)*=*1,10
*1*=**=**1=*1**=**=*1,12
**(**(*)=*)*(*)(=*)=*,10
*1***=**=**1,8
*1:*:*2:*:*3:*:*:*:*:*:3:*:*2:*:1,13
******(****)*(*)=*,13
*1*=**2**3:*:*:*:*:*:3**2=*1,14
*1**2**2*2***3(**3)*2*1,13
*1*2*3*=**4*5*=**3*1*5*24,13
*=*1****2:*:*3:*(:*:*:21)***3=*,15
*=*1*=*2*3**4***(*(*4)*3)*2*1=*,16
*********=*=*,11
*****(*)(*)*(*)*,10
*=*1**2*=***=*****2*1=*,15
*#*******#*,9
***(*)(*)*(*)*(*)*,10
**=***(*)(*)*,8
*=*1**(=*)*2:*1:*:*1:*:*:*:*:*:1:*:2=*,16
*1**2**3**2(*1)*=*3,10
*1***2**=**2**1,10
*(**1:*:*:*:*:*:1)*1:*:*:*:*:*:1,14
*=*1:*:*:*2:*:1***2,9
*=*1**=**=*2**=**12,11
*1**2*=***12,7
*1***2*(*1)***13**(***21)*=*3,16
*******=*,8
*=*1**2=**3***(****2=*1)*3,15
*=*1***2****2=*1,10
*=*1**2*=***21,8
*1**2*3**3**=*2*=*1,11
*=*1**2=*(*3****31)*(=*)***2,15
*=*1**2****3****3**2=*1,15
**(*)**(*)***=***=*,13
*=*1*=**2**=**1*2,10
*=*1**=*2*****12,10
*****=*1*(=*)**=**1=*,13
*1*=**2*=**3*=***3*12,12
*:*:*:*(:*):*:*:*,8
*=*1*2***2*(=*)*2***21,12
*=*1*=**2:*:*:*:*:21,9
*=*1:*:*:*:*2:*:1*=***2,11
*=*1**2(*****2)*2=*1****2,15
*1**2**3*4***35****5*2*4*1,16
*=*1**2*(***=*3*4**(*4)*23)*1=*,16
*1**=****2**2**2:*:*:*(:*:2)*1,16
*=*1*=**2*=**21,8
*1:*:*:*2:*3:*:*:*:*:*:3:*:*2:*:1,13
*=*1*2:*:*:*:*:*:2**23*****12*3,16
*=*1*=***2*3*****3**=*21,15
*=*1**2=**3*(**2=*1)*(=*)**3=*,15
**(****=*)*(*)(=*)=*,11
*1**2**1**21**1,9
***(=*)*=**(=*)**,10
*********,9
***(=*)*******(*)=*,13
**(=*)**(*)(**(*)=*)*(*)=*,13
****(*)**(*)**,10
*=*1****2(****2)**1,12
*1**2=**3:*:*:*:*:*:3***2=*1,14
*******(=*)***,11
*=*1:*:*:*(**2*****2):*:1,13
****(*)**=**(*)=*,11
*=*1:*:*:*:*2:*(=*):*3:*:*:*:*:*:3:*:*:1:2,16
*=*1*****2**(*1)*1*****21,16
*1**2(**2)**2:*:*:*:*:*:21,12
*=*1***(=*)***(=*)***(=*)**1,16
**(**(*)(*)*(*)*)*(*)(*)*,13
*=*1****2(***=*2)*1=*,12
***(**)(**)*****(*)(=*)=*,15
*=*1*****=***2****2*=*1,16
*=*1**2****(=*)*3***(*1)*23,15
*=*1****2=*1*(=*)***2,12
**(*1=*****1)=*1*=**=*1,13
*1****2:*:*:*:*:2***1,12
*1**2**1*1**3**3*21,11
*1**2*(*1)*1*=**2*2*=**12,13
*=*1:*2:*:*:*:*:*:2:*(=*):*2:*:*:*:*:*:1:2,16
***(=*)**(*)**(*)*,11
*******(=*)**(*)*,12
*=*1***2***3:*:*:*:*:*:3*2=*1,15
**(=*)*(**=*)**(*)(=*)=*,12
****=*1*=**2:*:*:*:*:*:21,13
*.**(=*)*=*.**1**1,10
**=*(*)*#*,6
****(***)*=*,9
**(=*)(=*)****(=*)****=*,14
*1**2:*:*:*:*:*:2**2:*:*:*:*:*:2*1,16
*=*1**2***3****=*3**(*2)*1,16
*1*2*=**1*1:*:*:*:*:12,10
***(=*)**=*1***(=*)*1,12
**(=*)*(****=*(*)*)**=*,14
*1***2*(**1)*1*****21,13
*=*1*2***(=*)(=*)*2*12**2,12
*1***23**45****4(**2(*1)*5)*3,15
*=*1**2*=***2*=*1,10
*1*2*=**1*1:*:*3:*:*:*:*:*:3:*:*:12,15
**(*)*(**(=*)*(*)*(*)*)*=*,14
**********=*1:*:*:*:*:*:1,16
**(=*)*:*:*:*:*:*,9
*1**2:*:*:*:*3:*:*4:*:*:*:*(:*:4:*:2:3)*1,16
*****(=*)*********=*,16
*1***2***(*1)*=*2,10
*1**2**1**1**3:*:*:*:*:*:3**21,16
*=*1****2=**3:*:*:*:*:*:3**12,15
***=**(*)*(*)*,9
*=*1**2=****2*2=*1****2,14
*.**(=*)**=*,7
**(*)*(=*)(=*)**(=*)****(*)(=*)=*,16
****(=*)*(*)(*)**(*)(*)=*,13
*=*1**2**3****3*2*1=*,13
******(*)*(*)=*,10
*=*1*=***12******2,12
******(=*)**(=*)****,14
*1*2*=**=**2*2**2*2*=**=**12,16
****(**)**(*)=*,10
*1**2***1**21**2:*:*:*:*:2*1,15
*1***2*(*1)**1:*:*:*3:*(:*:12)***3,16
*=*1:*:*2:*:*:*:*:*:2:*:1,10
*1**2=**=***2=*1,9
*1***2:*(:*:*3:*:2***=*3)*1,13
*1***2***2**1,9
**(*)(*)*(*)(*(*)(*)*)*(*)(*)*,14
***(=*)*(*)(*)*,8
**#**(=*)=*,6
**(***=*)*(*)(*)*,10
*1***2(**1)**1=*(***1)*2,13
*=*1*******(=*)*2****1*2,16
*=*1:*:*:*:*2:*:*3:*(:*:1:2)*=***3,14
*=******=*,8
*=*1**2(**1=*)*1**3**(*1)**2*3,16
*=*1*=**(=*)*2=*1*1**3**3*1*2=*,16
****(:*:*):*1:****1,11
*=*1*=**2*3***=***3***21,15
*=*1*=**2*****2=*1,11
*=*1**2*(***=*3*2*=**3=*)*1=*,16
*1**2***1*1:*:*:*:*:*:12,12
*=*1*****2*1***2=*,12
*1**2**(*1)*1:*:*3:*:*:*:*:3:*:*:1*2,16
*=*1****2*1***=****2=*,15
*:*:*:*:*:*:*:*1:*:*:*:*:1,12
*=*1(=*)****(=*)(=*)*=*1,11
********1:*:*:*:*:*:1,13
***(=*)*=*(*)*,8
*1**2***3***24*(**=**4*1)*3,16
***(*=*)*(*)*,8
*1**2(*1)**=**=*2,9
**(=*)(=*)****#*,9
****(**)*(**)***,12
*=*1***2*(***3******32)*1,16
*=*1*******2=*1***2,13
**(*)*=*(*)*,7
*=*1**2(****23****3)*=*1,14
*=***(=*)(=*)*:*:*:*,10
*1***2(*1)**=**2,9
*=*1***2:*:*3:*(:*:*:2*1)*(=*)**3,15
*=*1*=*2:*:*:*:*:*:2=*1,10
*=*1*2=**=***2**2:*:*:*:*:*:21,15
**=*1***=*1,7
*=*1*2*3**4*5*3*1*5*1(****1)*42,16
*****,5
***(=*)*=**(*)*,9
***1(*)*****1,9
*=*1:*:*:*:*2:*:1***21****1,14
*1**2*1***1*2***2:*:*:*:*:*:21,16
***********(=*)***,15
*=*1****2*(=*1)**1:*:*:*:*:*:12,15
**1:*:*:*:*:*:1**:*:*:*:*,13
*=*1****2=*1***2,10
***(=*)**=*,7
*1****2(***1)***=*2,12
*1***23****(*2)*=**3*1,13
*****1:*:*:*2:*(:*:1)*****2,15
***(=*)*(*)(*)*#*,9
*1*=**2=**=***2=*1,10
*=*1****2:*:*:*:*:*:21,11
*:*:*:*:*:*1:*:*:*:*:*:1:*,12
***(*)=**#*,7
**(*)**(*)(*)=*,8
*:*:*:*:*:*:*1:*:*:*:*:*:1,12
*1***2*=**3:*:*:*:*:*:3*2**1,15
*=*1*=**2*3****2*31,11
*=*1**(=*)**2(****2)*1,12
****(**(=*)=*)*(=*)**,12
*1*2**1*1:*:*3:*:*:*:*:*:3:*:1*2,14
*1***2=*(*1)**=**21**=**1,14
*=*1****2:*1:*:*:*1:*:2*=***1,15
**(***(=*)*(*)*)*(*)=*,12
***(=*)*(*)**(*)(=*)**,12
*1***2**2***=**1,11
***(=*)*(*)*(*)*=*,10
*=*1**2*(**3***(=*)*32)*=*1,14
*=*1**2*****2=*1,10
*1***2*(*1)**1**13*****23,15
**(*=*)*(*)(=*)=*,8
***(*)*(*)***=*,10
*1**2=****3:*2:*(:*2:*:*:*:*:*:3:2)*1,16
*=*1**2**2*****=****=*1,16
*=*1**=**2:*:*3:*(:*:21)****3,14
*=*1(=*)*2:*:*:*:*:2***12**2,13
*=*1**2***3(*****13)*2,13
*=*1***2(******2)*(=*)*1,14
**=*****(*)=*,9
*=*1*=**2:*:*3:*(:*:*:21)***3,13
*=*1***2*1**(=*)*2=*,11
*1**2:*:*:*:*:*:2*2(*1)**=**2,14
***(=*)*****(*)*,11
*=*12*****1***2,10
**(*)**(*=*)*(*)*,10
*****1***2:*:*:*:*:*:21,13
**(=*)****=*(*)*,10
****(=*)***(**=*)*(*)=*,14
*1**2***(*2)*=*1,9
*=*1***(=*)**2:*:*:*:*:*:2**1,15
*=*1**2***1*1=*2****1,13
**(*)*(*)*****(*)=*,12
*1***2*(*1)***1=**=***21,14
*1***2:*(:*:*3:*:*:*:*:2:3)*1,12
*=*1***=*(=*)*1,8
*=*1***2**=**3***(=*)*3**21,16
*=*1**2(**3***2*3)*=*1,12
***1*****2:*:*:*:*:*:21,13
**(*)*=****(*)=*,10
*=*1**2:*:*:*(=*):*:*:2*2:*:*:*:*:*:21,16
*=*1*=**2*=***2=*1,10
*=*1***********(=*)*1,15
*=*1*=**2***3:*:*:*:*:*:3**21,15
*:*:*.*:*:*:*:*,8
*1:*:*:*2:*(:*:1)*1:*:*3:*:*:*:*:*:3:*:*:12,16
****=****1***(=*)*1=*,14
*.*=*=*,4
*=*1********=****=*1,15
*=*1*2=*****2*2:*:*:*:*:*:21,14
***(*)(=*)*****(*(*)=*)*(*)=*,16
***(=*)**(=*)**(*)=*,11
**=****(=*)**(*)(*)*,12
*=*1**2****1*=**2=*,12
*=*1(=*)***2:*:*:*3:*:*:*:*(:*:2:3)*1,15
*=*1***=**2****21,11
*=*1***2(***2)**1,10
*1***2(*1)*=***1:*:*:*:*:*:12,14
***(=*)**(**=*)*(=*)**,13
*:*:*:*(:*):*:*1:*:*:*:*:1,11
****(=*)*(*)**(*)(=*)**,13
*=*1**2**34**3****4**2=*1,15
*=*1*****(=*)(=*)*1,10
*=*1*=**2=****2=*1,10
*=*1*=**2*3*****3*3**3**21,16
*=*1***2******21,11
*=*1**2***2*2****21,12
*=*(**1*****1)*:*:*:*:*,14
***(=*)(=*)****(*)(*)*,12
*=*1*****=****1=*,12
****(=*)***(=*)**(*)**,14
*=*1**2*3***(**21)*=*3,12
*=*1***2:*(:*:*:*3:*:2****3)*1,15
**(*)(*)**(=*)****=*,12
*1**2**1**21**=**1,11
*=*1(=*)***2(**2)*2:*:*:*:*:*:21,14
****(=*)*****(=*)**,13
*=*1**23*****2***(*3)*1=*,15
*1**2**3*=****3*(*1)*21**1,15
*1**2*3**4*=**3*4**2=*1,13
***(=*)*(=*)**#*,9
******(=*)*****(=*)***,16
****1***(:*:*):*(:*)*1,12
*=*1**2****=****1=*2,13
***(=*)*(*)*(*)*,9
*=*1****2(***3*=****32)*1,15
*1***2*(*1)*=*1*2**2:*:*:*:*:*:21,16
*1*2=**=**=*1*=**=*2,11
*=*1:*:*:*2:*:*:*3:*(:*:2:*:1)***3,14
*=*1**2**3***(*2)*31,11
*=*1***2:*(:*:*3:*:*:*:*:*:2:3)*1,14
*:*:*:*:*:*:*:*:*:*,10
*=*1**2***3=*(*2*1)*(=*)*=**3=*,16
*1**2:*:*:*:*:*:2*#**2:*:*:*:*:*:21,16
**(*)(*)*(=*)(=*)**(=*)*=*,12
*=**********(=*)***=*,16
*=*1***2*(=**(=*)*3:*:*:*:*:*:32)*1,16
**(**(=*)*(***(*)=*)**=*)*=*,16
****(***)****(*)(=*)=*,14
***1:*(*):*:*2:*:*:*:*:*:1:2,12
*=*1**2*****3:*:*:*:*1:*:32,14
*=*1**2**3*=****3***2=*1,15
*:*:*:*:***1:*:*:*:*:*:1,12
*=*1***2=*(***3*****32)*1,15
*=*1**(=*)(=*)**2*****21,13
***1=*****1=*,9
**(*)*(*)(*(*)=*)*(*)(*)*,12
*=*1**2***(=*)*3****23*1,14
*1******=**=*****1,14
*=*1*=**23****(**12)*3,12
*=*1*=**(=*)*1=*,8
*1****2:*(:*:*:*3:*:*:*:*:2:3)**1,15
*1:*:*:*2:*:*3:*:*:*:*:3:*:*:2:*:1,13
***(=*)*****(**=*)*(=*)**,16
*=*1***2**3***(*3)*21,12
*=*(***#*)***(=*)=*,11
*=*1***(=*)*12***1:*:*:*:*:*:12,15
*=*1***2***3*=***231,12
*1**=*2*(*1)***13****(**21)*3,16
*1**2=*(*1)*1:*:*:*:*:*:1*2,12
*=*1:*:*:*:*:1,6
*=*1**=*(**:*:*:*:*)*1,12
*=**(=*)*=*,6
*1***2**3(**=**3)**2*1,13
**(=*)**(**(*)=*)*(*)(=*)=*,13
*=*1***2***3*(**(=*)*3=*)*2=*1,16
*=*1**2****3*(*1)*1**=**1*23,16
***(**)*****(=*)**,13
**(*)**=**(*)=*,9
*=*1***2(***(=*)*2)*1,11
*=*1**2****3****32*1,13
*=*1*****=****(=*)****1,16
**(*)=***=*,7
*1*=***2(**=**2)*=*1,11
**(*)**(**(*)*)*=*,11
*=*1**=*2**3***=*3*12,12
*1**2***1*1**21,9
*=*1**23*****2**1**3,13
*1**(=*2*=**3(***=*3)*=*2)*=*1,15
*1***2:*:*:*:*3:*:*:*:*(:*:2:3)**1,15
*****(=*)*(*)*(*)*(*)*(*)**,16
*=*1****2:*1:*1:*:*:*:*3:*:1:*:2**3,16
*=*1***2**1*2,8
*1***2(**1)***1(*****1)*2,15
*=*1**=***=*1,8
*=*1***2****=*21,10
**(*)******(**(*)=*)*=*,15
*=*1**2(****2)**(=*)(=*)*1,13
***(=*)(=*)****(*)*,11
*****(=*)(=*)**,9
**(**=*)*(*)(=*)=*,9
*=*1*****2:*:*3:*:*:*:*:3:*:*:21,15
*=*1***2**(=*)**3(***(=*)*23)*1,16
**(***(*)(=*)=*)*=*,10
**(=*)**(=*)(=*)*=*,9
*=*1****2*1***2=*,11
*1**2*3***4**2(**43)*=*1,13
**(*)(**=*)*=*,8
***=**:*:*:*:*,9
**(*)=**(=*)**(*)(*)*,11
*=*1**=**2**21,8
*=*1*=**2**2***=**2****21,16
*1**=*2**3:*:*:*:*:*:3*=*2*1,14
*=*1*=****=*1,8
*=*1**=**=**2:*:*:*:*:*:21,13
*=*1**2**3**(=*)*(=*)*3**2*=*1,16
*=*1**2**3*4**5**(*4)*2*3(*5)*1,16
*=*1***=****=***=**=*1,15
*=*1*****2:*:*:*3:*:*:*:*1:*:2:3,15
*1*2*=**=**2**2:*:*:*:*:*:21,14
*1**12*=**1:*:*:*:*:*:1*1:*:*:*:*:12,16
**(*)*(*)*(*)*(*)=*,10
*1***2(*1)****1**3(***12)**3,16
*1**2*3*1*1:*:*:*:*:*:1*1***231,15
***(=*)***(*)(*)***(*)=*,14
***(=*)*:*:*:*:*,9
*=*****(=*)****=*,12
*=*1**2(****2=*)**=*1,12
*=*1*=***2=*****12,11
*1**2(*=*1)*1:*:*:*:*:*:1**21**1,15
*=*1**2:*:*3:*:*:*:*:*:3:*:*:2*1,14
**=*(*)*(=*)=*,7
*=*1**=*2*3****(*3)*(=*)*2*1,15
***(*)(=*)***(*)=*,10
*=*1****2:*1:*:*(=*):*1:*:2*(=*)**1,16
*=*1:*:*:*2:*:*:*3:*:*:*:*:3:*:2:*:1,14
*=*1**(=*)*2(***=**2)*(=*)*1,14
*1*2**1*1**1*2,8
*=*1*=**2*3*****3***2=*1,15
*1**2****(*1)**2,10
*1*2*=**1*1(***3:*:*:*:*:*:31)*=*2,16
***#*,4
***(*)***(=*)*(*)=**=*,13
********(*)(=*)=*,11
*********(**)**,13
*****=*(*)**=*,10
***(=*)(**(*)*(*)=*)**(*)*(*)=*,16
*=*1***2***21,8
*1***2**3(****3)**2*1,13
****(*)***(*)***,12
*=*1****2:*:*3:*:*:*:*:*:3:*(=*):*:21,16
*=*1*=*2****2*2***=*21,13
***(=*)**(*)*=**(=*)**(*)*,15
****=*1*(=*)*=**1=*,11
*1***2***(***=**1)*2,13
**(*****=*(*)*)**=*,13
***(*)*=**=**=**(*)=*,13
**(*)(=*)****=*,9
**(=*)=*,4
**(*)*(=*)******(*)(=*)=*,14
**(*)(*)**(=*)**(=*)**(*)(*)*,15
*1***2**3****3***2*1,14
*********(=*)*(*)(*)*,14
*1**2:*(:*:*3:*:*:*:*:*:2:3)*2*=***12,16
**(=*)**1****2:*:*:*:*:*:21,14
*=*1:*:*:*:*2:*:*:*3:*(:*:1:2)*(=*)(=*)*=*3,16
*=*1*=*2*****2*2=*1****2,15
*=*1**2**=***2*2**21,12
*1***23*****2****3*1,14
*=*1**=**2*****2*1,12
**(=*)*(*)(**=*)*(*)=*,11
****(**(*)*)**(*)*,12
*=******(=*)****=*,13
*=*1**2*****2*2***3**3*21,16
*1****=**=***1,10
**(=*)*(**=*)*(*)=*,10
***(=*)*(=*)*#*,8
*=*1:*:*:*:*2:*:*3:*(:*:*:1:2)**=***3,16
*=*1**2****1*2,9
*=*1**2**=*3*=***=*3*2*1,14
**(*)*(***(*)(=*)=*)*(*)=*,13
*=*:*1:*:*:*:*:1,7
*=*1******(=*)*=****1,14
*=*1:*:*:*2:*:*3:*:*:*(=*):*:*:3:*:*:2:*:1,16
*=*1:*:*:*:*2:*:1:*:*:*1:*:*:*:*(=*):*:1:2,16
*.*:*:*:*1:*:*:*:*:*:1,10
*=*1:*:*2:*:*:*:*:*:2:*2:*:*:*:*:*:12,15
**(*)*(*)(*)*(*)=*,9
*****(*)***(*)*,11
*.*1**2****2*1,9
*=*1**(=*)*2(***(=*)*2)*(=*)*1,14
**(**(=*)*(*)**=*)*=**(=*)=*,15
*=*1**2***3=****3**2*1=*,15
*=*1*=**2*3***(*3)**21,12
****=*1*(=*)*=**2:*:*:*:*:*:21,15
*****(=*)**(*(*)*)*(*)=*,14
**(=*)***(=*)******=*,14
*1********1,9
*1**=**=****2**2***=*1,15
*1**2**1**1:*:*:*:*:1*2,12
*=*1**(=*)*2*1*1**(=*)*2*(=*)*1,15
*=*1(=*)**2:*:*3:*(:*:*:2*=*1)****3,16
*1**2***3**=**4***(*1)*2*34,16
***(**(*)=*)*(=*)=*,10
**(******(*)=*)*=*,12
*=*1:*:*:*2:*(=*):*:*:*:*:1:2,11
*=*(=*)****#*,8
***(=*)*=*(*)*=**=*(*)*=*,14
*=*1*2***3*(***31)*2,11
***(=*)*=*1**(=*)*1,10
*=*1***2:*1:*:*:*1:*:2*(=*)***1,15
***(**)******(**)**,15
*1*=**=*1,5
*=*1*=*2*****2*2*****21,15
***(=*)***#**#****(=*)**,16
*****(=*)**(*)*#*,11
